,od,price,road,ratetype,time,direction,status
0,od_1024,0.95,495,DTA,26-09-2021 21:20,N,open
1,od_1025,1.35,495,DTA,26-09-2021 21:19,N,open
2,od_1026,1.75,495,DTA,26-09-2021 21:20,N,open
3,od_1027,2.05,495,DTA,26-09-2021 21:19,N,open
4,od_1028,2.3,495,DTA,26-09-2021 21:19,N,open
5,od_1029,2.9,495,DTA,26-09-2021 21:20,N,open
6,od_1030,0.85,495,SIGN,26-09-2021 21:20,N,open
7,od_1031,0.85,495,DTA,26-09-2021 21:19,N,open
8,od_1032,1.1,495,DTA,26-09-2021 21:20,N,open
9,od_1033,1.35,495,DTA,26-09-2021 21:19,N,open
10,od_1034,1.95,495,SIGN,26-09-2021 21:20,N,open
11,od_1035,0.85,495,DTA,26-09-2021 21:20,N,open
12,od_1036,0.85,495,DTA,26-09-2021 21:20,N,open
13,od_1037,1.15,495,DTA,26-09-2021 21:20,N,open
14,od_1038,1.1,495,DTA,26-09-2021 21:20,N,open
15,od_1039,4.9,495,DTA,26-09-2021 21:19,S,open
16,od_1040,4.9,495,DTA,26-09-2021 21:19,S,open
17,od_1041,4.9,495,DTA,26-09-2021 21:20,S,open
18,od_1042,4.45,495,DTA,26-09-2021 21:19,S,open
19,od_1043,3.65,495,DTA,26-09-2021 21:19,S,open
20,od_1044,2.8,495,DTA,26-09-2021 21:20,S,open
21,od_1045,1.15,495,DTA,26-09-2021 21:19,S,open
22,od_1046,1.1,495,DTA,26-09-2021 21:20,S,open
23,od_1047,4.35,495,DTA,26-09-2021 21:19,S,open
24,od_1048,4.35,495,DTA,26-09-2021 21:19,S,open
25,od_1049,4.35,495,DTA,26-09-2021 21:20,S,open
26,od_1050,3.95,495,DTA,26-09-2021 21:19,S,open
27,od_1051,3.1,495,DTA,26-09-2021 21:19,S,open
28,od_1052,2.25,495,DTA,26-09-2021 21:20,S,open
29,od_1053,0.85,495,DTA,26-09-2021 21:20,S,open
30,od_1054,4.05,495,DTA,26-09-2021 21:19,S,open
31,od_1055,4.05,495,DTA,26-09-2021 21:20,S,open
32,od_1056,4.05,495,DTA,26-09-2021 21:20,S,open
33,od_1057,3.6,495,DTA,26-09-2021 21:20,S,open
34,od_1058,2.75,495,DTA,26-09-2021 21:19,S,open
35,od_1059,1.95,495,DTA,26-09-2021 21:20,S,open
36,od_1060,0.85,495,DTA,26-09-2021 21:19,S,open
37,od_1061,3.75,495,DTA,26-09-2021 21:19,S,open
38,od_1062,3.75,495,DTA,26-09-2021 21:19,S,open
39,od_1063,3.75,495,DTA,26-09-2021 21:20,S,open
40,od_1064,3.3,495,DTA,26-09-2021 21:20,S,open
41,od_1065,2.5,495,DTA,26-09-2021 21:19,S,open
42,od_1066,1.65,495,DTA,26-09-2021 21:20,S,open
43,od_1067,3.35,495,DTA,26-09-2021 21:19,S,open
44,od_1068,3.35,495,DTA,26-09-2021 21:19,S,open
45,od_1069,3.35,495,DTA,26-09-2021 21:20,S,open
46,od_1070,2.9,495,DTA,26-09-2021 21:20,S,open
47,od_1071,2.1,495,DTA,26-09-2021 21:19,S,open
48,od_1072,1.25,495,DTA,26-09-2021 21:20,S,open
49,od_1073,2.1,495,DTA,26-09-2021 21:19,S,open
50,od_1074,2.1,495,DTA,26-09-2021 21:19,S,open
51,od_1075,2.1,495,SIGN,26-09-2021 21:20,S,open
52,od_1076,1.65,495,SIGN,26-09-2021 21:20,S,open
53,od_1077,0.85,495,SIGN,26-09-2021 21:20,S,open
54,od_1078,1.7,495,DTA,26-09-2021 21:19,S,open
55,od_1079,1.7,495,DTA,26-09-2021 21:19,S,open
56,od_1080,1.7,495,DTA,26-09-2021 21:20,S,open
57,od_1081,1.25,495,DTA,26-09-2021 21:20,S,open
58,od_1082,0.85,495,DTA,26-09-2021 21:20,S,open
59,od_1083,null,495,DEFAULT,26-09-2021 06:57,S,open
60,od_1084,null,495,DEFAULT,26-09-2021 06:57,S,open
61,od_1085,null,495,DEFAULT,26-09-2021 06:57,N,open
62,od_1086,1.65,495,DTA,26-09-2021 21:19,N,open
63,od_1087,2.2,495,DTA,26-09-2021 21:19,N,open
64,od_1088,2.6,495,DTA,26-09-2021 21:19,N,open
65,od_1089,3,495,DTA,26-09-2021 21:19,N,open
66,od_1090,3.3,495,DTA,26-09-2021 21:19,N,open
67,od_1091,3.55,495,DTA,26-09-2021 21:19,N,open
68,od_1092,4.15,495,DTA,26-09-2021 21:19,N,open
69,od_1093,1.15,495,DTA,26-09-2021 21:19,S,open
70,od_1094,4.65,95,DTA,26-09-2021 21:20,N,open
71,od_1095,7.35,95,DTA,26-09-2021 21:20,N,open
72,od_1096,7.35,95,DTA,26-09-2021 21:20,N,open
73,od_1097,8,95,DTA,26-09-2021 21:19,N,open
74,od_1098,9.35,95,DTA,26-09-2021 21:19,N,open
75,od_1099,9.35,95,DTA,26-09-2021 21:19,N,open
76,od_1100,2.15,95,DTA,26-09-2021 21:20,N,open
77,od_1101,4.9,95,DTA,26-09-2021 21:20,N,open
78,od_1102,4.9,95,DTA,26-09-2021 21:20,N,open
79,od_1103,5.5,95,DTA,26-09-2021 21:19,N,open
80,od_1104,6.85,95,DTA,26-09-2021 21:19,N,open
81,od_1105,6.85,95,DTA,26-09-2021 21:19,N,open
82,od_1106,1.55,95,DTA,26-09-2021 21:20,N,open
83,od_1107,4.3,95,DTA,26-09-2021 21:20,N,open
84,od_1108,4.3,95,DTA,26-09-2021 21:20,N,open
85,od_1109,4.9,95,DTA,26-09-2021 21:19,N,open
86,od_1110,6.25,95,DTA,26-09-2021 21:19,N,open
87,od_1111,6.25,95,DTA,26-09-2021 21:19,N,open
88,od_1112,1.5,95,DTA,26-09-2021 21:20,N,open
89,od_1113,3.2,95,DTA,26-09-2021 21:20,N,open
90,od_1114,3.2,95,DTA,26-09-2021 21:20,N,open
91,od_1115,3.8,95,DTA,26-09-2021 21:19,N,open
92,od_1116,5.15,95,DTA,26-09-2021 21:19,N,open
93,od_1117,5.15,95,DTA,26-09-2021 21:19,N,open
94,od_1118,2.85,95,DTA,26-09-2021 21:20,N,open
95,od_1119,2.85,95,DTA,26-09-2021 21:20,N,open
96,od_1120,3.45,95,DTA,26-09-2021 21:19,N,open
97,od_1121,4.8,95,DTA,26-09-2021 21:19,N,open
98,od_1122,4.8,95,DTA,26-09-2021 21:19,N,open
99,od_1123,2.1,95,DTA,26-09-2021 21:20,N,open
100,od_1124,2.1,95,DTA,26-09-2021 21:20,N,open
101,od_1125,3.25,95,DTA,26-09-2021 21:19,N,open
102,od_1126,4.05,95,DTA,26-09-2021 21:19,N,open
103,od_1127,4.05,95,DTA,26-09-2021 21:19,N,open
104,od_1128,1.75,95,DTA,26-09-2021 21:20,N,open
105,od_1129,1.75,95,DTA,26-09-2021 21:20,N,open
106,od_1130,3.25,95,DTA,26-09-2021 21:19,N,open
107,od_1131,3.7,95,DTA,26-09-2021 21:19,N,open
108,od_1132,3.75,95,DTA,26-09-2021 21:19,N,open
109,od_1133,1.5,95,DTA,26-09-2021 21:20,N,open
110,od_1134,3,95,DTA,26-09-2021 21:19,N,open
111,od_1135,3.25,95,DTA,26-09-2021 21:19,N,open
112,od_1136,3.5,95,DTA,26-09-2021 21:19,N,open
113,od_1137,1.5,95,DTA,26-09-2021 21:20,null,closed
114,od_1138,1.95,95,DTA,26-09-2021 21:20,null,closed
115,od_1139,2,95,DTA,26-09-2021 21:20,null,closed
116,od_1140,1.5,95,DTA,26-09-2021 21:20,N,open
117,od_1141,1.75,95,DTA,26-09-2021 21:20,N,open
118,od_1142,1.5,95,DTA,26-09-2021 21:20,N,open
119,od_1143,1.75,95,DTA,26-09-2021 21:20,N,open
120,od_1144,1.5,95,DTA,26-09-2021 21:20,N,open
121,od_1145,1.75,95,DTA,26-09-2021 21:20,N,open
122,od_1146,1.5,95,DTA,26-09-2021 21:20,N,open
123,od_1147,2.5,95,DEFAULT,26-09-2021 06:57,S,closed
124,od_1148,2.75,95,DEFAULT,26-09-2021 06:57,S,closed
125,od_1149,3,95,DEFAULT,26-09-2021 06:57,S,closed
126,od_1150,2,95,DTA,26-09-2021 21:19,S,closed
127,od_1151,3.7,95,DTA,26-09-2021 21:19,S,closed
128,od_1152,4.2,95,DTA,26-09-2021 21:19,S,closed
129,od_1153,4.6,95,DTA,26-09-2021 21:19,S,closed
130,od_1154,4.9,95,DTA,26-09-2021 21:19,S,closed
131,od_1155,5.95,95,DTA,26-09-2021 21:19,S,closed
132,od_1156,7.3,95,DTA,26-09-2021 21:19,S,closed
133,od_1157,11.45,95,DTA,26-09-2021 21:19,S,closed
134,od_1158,2.5,95,DEFAULT,26-09-2021 06:57,S,closed
135,od_1159,2.75,95,DEFAULT,26-09-2021 06:57,S,closed
136,od_1160,1.75,95,DTA,26-09-2021 21:19,S,closed
137,od_1161,3.25,95,DTA,26-09-2021 21:19,S,closed
138,od_1162,3.35,95,DTA,26-09-2021 21:19,S,closed
139,od_1163,3.75,95,DTA,26-09-2021 21:19,S,closed
140,od_1164,4.05,95,DTA,26-09-2021 21:19,S,closed
141,od_1165,5.35,95,DTA,26-09-2021 21:19,S,closed
142,od_1166,6.45,95,DTA,26-09-2021 21:19,S,closed
143,od_1167,10.6,95,DTA,26-09-2021 21:19,S,closed
144,od_1168,2,95,DTA,26-09-2021 21:19,S,closed
145,od_1169,2.5,95,DEFAULT,26-09-2021 06:57,S,closed
146,od_1170,2.75,95,DEFAULT,26-09-2021 06:57,S,closed
147,od_1171,3,95,DEFAULT,26-09-2021 06:57,S,closed
148,od_1172,4.25,95,DTA,26-09-2021 21:19,S,closed
149,od_1173,5.6,95,DTA,26-09-2021 21:19,S,closed
150,od_1174,9.75,95,DTA,26-09-2021 21:19,S,closed
151,od_1175,1.75,95,DTA,26-09-2021 21:19,S,closed
152,od_1176,2.5,95,DEFAULT,26-09-2021 06:57,S,closed
153,od_1177,2.75,95,DEFAULT,26-09-2021 06:57,S,closed
154,od_1178,3,95,DEFAULT,26-09-2021 06:57,S,closed
155,od_1179,4,95,DTA,26-09-2021 21:19,S,closed
156,od_1180,5.4,95,DTA,26-09-2021 21:19,S,closed
157,od_1181,9.55,95,DTA,26-09-2021 21:19,S,closed
158,od_1182,1.75,95,DTA,26-09-2021 21:19,S,closed
159,od_1183,2.5,95,DEFAULT,26-09-2021 06:57,S,closed
160,od_1184,2.75,95,DEFAULT,26-09-2021 06:57,S,closed
161,od_1185,3,95,DEFAULT,26-09-2021 06:57,S,closed
162,od_1186,4,95,DTA,26-09-2021 21:19,S,closed
163,od_1187,5.4,95,DTA,26-09-2021 21:19,S,closed
164,od_1188,9.55,95,DTA,26-09-2021 21:19,S,closed
165,od_1189,2.5,95,DEFAULT,26-09-2021 06:57,S,closed
166,od_1190,2.75,95,DEFAULT,26-09-2021 06:57,S,closed
167,od_1191,3,95,DEFAULT,26-09-2021 06:57,S,closed
168,od_1192,3.6,95,DTA,26-09-2021 21:19,S,closed
169,od_1193,3.95,95,DTA,26-09-2021 21:19,S,closed
170,od_1194,7.8,95,DTA,26-09-2021 21:19,S,closed
171,od_1195,2.5,95,DEFAULT,26-09-2021 06:57,S,closed
172,od_1196,2.45,95,DTA,26-09-2021 21:19,S,closed
173,od_1197,3,95,DEFAULT,26-09-2021 06:57,S,closed
174,od_1198,2.5,95,DEFAULT,26-09-2021 06:57,null,closed
175,od_1199,2.75,95,DEFAULT,26-09-2021 06:57,null,closed
176,od_1200,3,95,DEFAULT,26-09-2021 06:57,S,closed
177,od_1201,2.5,95,DEFAULT,26-09-2021 06:57,S,closed
178,od_1202,2.75,95,DEFAULT,26-09-2021 06:57,S,closed
179,od_1203,3,95,DEFAULT,26-09-2021 06:57,S,closed
180,od_1204,6.35,95,DTA,26-09-2021 21:19,S,closed
181,od_1205,6.95,95,DTA,26-09-2021 21:19,S,closed
182,od_1206,7.2,95,DTA,26-09-2021 21:19,S,closed
183,od_1207,7.2,95,DTA,26-09-2021 21:19,S,closed
184,od_1208,9.2,95,DTA,26-09-2021 21:19,S,closed
185,od_1209,9.7,95,DTA,26-09-2021 21:19,S,closed
186,od_1210,10.1,95,DTA,26-09-2021 21:19,S,closed
187,od_1211,10.4,95,DTA,26-09-2021 21:19,S,closed
188,od_1212,11.45,95,DTA,26-09-2021 21:19,S,closed
189,od_1213,12.8,95,DTA,26-09-2021 21:19,S,closed
190,od_1214,16.95,95,DTA,26-09-2021 21:19,S,closed
191,od_1215,null,95,DEFAULT,26-09-2021 06:57,S,closed
192,od_1216,1.5,95,DTA,26-09-2021 21:19,S,closed
193,od_1217,1.75,95,DTA,26-09-2021 21:19,S,closed
194,od_1218,2,95,DTA,26-09-2021 21:19,S,closed
195,od_1219,2,95,DTA,26-09-2021 21:19,S,closed
196,od_1220,3.7,95,DTA,26-09-2021 21:19,S,closed
197,od_1221,4.2,95,DTA,26-09-2021 21:19,S,closed
198,od_1222,4.6,95,DTA,26-09-2021 21:19,S,closed
199,od_1223,4.9,95,DTA,26-09-2021 21:19,S,closed
200,od_1224,5.95,95,DTA,26-09-2021 21:19,S,closed
201,od_1225,7.3,95,DTA,26-09-2021 21:19,S,closed
202,od_1226,11.45,95,DTA,26-09-2021 21:19,S,closed
203,od_1227,9.35,95,DTA,26-09-2021 21:19,N,open
204,od_1228,10.7,95,DTA,26-09-2021 21:19,N,open
205,od_1229,12.15,95,DTA,26-09-2021 21:19,N,open
206,od_1230,6.85,95,DTA,26-09-2021 21:19,N,open
207,od_1231,8.25,95,DTA,26-09-2021 21:19,N,open
208,od_1232,9.7,95,DTA,26-09-2021 21:19,N,open
209,od_1233,6.25,95,DTA,26-09-2021 21:19,N,open
210,od_1234,7.6,95,DTA,26-09-2021 21:19,N,open
211,od_1235,9.05,95,DTA,26-09-2021 21:19,N,open
212,od_1236,5.15,95,DTA,26-09-2021 21:19,N,open
213,od_1237,6.55,95,DTA,26-09-2021 21:19,N,open
214,od_1238,8,95,DTA,26-09-2021 21:19,N,open
215,od_1239,4.8,95,DTA,26-09-2021 21:19,N,open
216,od_1240,6.15,95,DTA,26-09-2021 21:19,N,open
217,od_1241,7.6,95,DTA,26-09-2021 21:19,N,open
218,od_1242,4.05,95,DTA,26-09-2021 21:19,N,open
219,od_1243,5.45,95,DTA,26-09-2021 21:19,N,open
220,od_1244,6.9,95,DTA,26-09-2021 21:19,N,open
221,od_1245,3.75,95,DTA,26-09-2021 21:19,N,open
222,od_1246,5.25,95,DTA,26-09-2021 21:19,N,open
223,od_1247,6.55,95,DTA,26-09-2021 21:19,N,open
224,od_1248,3.5,95,DTA,26-09-2021 21:19,N,open
225,od_1249,5,95,DTA,26-09-2021 21:19,N,open
226,od_1250,6.25,95,DTA,26-09-2021 21:19,N,open
227,od_1251,2,95,DTA,26-09-2021 21:19,null,closed
228,od_1252,3.5,95,DTA,26-09-2021 21:19,null,closed
229,od_1253,4.8,95,DTA,26-09-2021 21:19,null,closed
230,od_1254,1.75,95,DTA,26-09-2021 21:19,N,open
231,od_1255,3.25,95,DTA,26-09-2021 21:19,N,open
232,od_1256,4.5,95,DTA,26-09-2021 21:19,N,open
233,od_1257,1.75,95,DTA,26-09-2021 21:19,N,open
234,od_1258,3.25,95,DTA,26-09-2021 21:19,N,open
235,od_1259,4.5,95,DTA,26-09-2021 21:19,N,open
236,od_1260,1.75,95,DTA,26-09-2021 21:19,N,open
237,od_1261,3.25,95,DTA,26-09-2021 21:19,N,open
238,od_1262,4.5,95,DTA,26-09-2021 21:19,N,open
239,od_1263,1.5,95,DTA,26-09-2021 21:19,N,open
240,od_1264,3,95,DTA,26-09-2021 21:20,N,open
241,od_1265,4.25,95,DTA,26-09-2021 21:20,N,open
242,od_1266,null,95,DEFAULT,26-09-2021 06:57,N,open
243,od_1267,1.5,95,DTA,26-09-2021 21:20,N,open
244,od_1268,2.85,95,DTA,26-09-2021 21:20,N,open
245,od_1269,1.5,95,DTA,26-09-2021 21:20,N,open
246,od_1270,2.75,95,DTA,26-09-2021 21:20,N,open
247,od_1271,1.5,95,DTA,26-09-2021 21:20,N,open
248,od_1272,2.75,95,DTA,26-09-2021 21:20,N,open
249,od_1273,1.85,95,DTA,26-09-2021 21:20,N,open
250,od_1001,null,495,DEFAULT,26-09-2021 06:57,N,open
251,od_1002,1.65,495,DTA,26-09-2021 21:19,N,open
252,od_1003,2.2,495,DTA,26-09-2021 21:19,N,open
253,od_1004,2.6,495,DTA,26-09-2021 21:19,N,open
254,od_1005,3,495,DTA,26-09-2021 21:19,N,open
255,od_1006,3.3,495,DTA,26-09-2021 21:19,N,open
256,od_1007,3.55,495,DTA,26-09-2021 21:19,N,open
257,od_1008,4.15,495,DTA,26-09-2021 21:19,N,open
258,od_1009,1.65,495,DTA,26-09-2021 21:19,N,open
259,od_1010,2.2,495,DTA,26-09-2021 21:20,N,open
260,od_1011,2.6,495,DTA,26-09-2021 21:19,N,open
261,od_1012,3,495,DTA,26-09-2021 21:20,N,open
262,od_1013,3.3,495,DTA,26-09-2021 21:19,N,open
263,od_1014,3.55,495,DTA,26-09-2021 21:19,N,open
264,od_1015,4.15,495,DTA,26-09-2021 21:20,N,open
265,od_1016,1.25,495,DTA,26-09-2021 21:19,N,open
266,od_1017,1.75,495,DTA,26-09-2021 21:20,N,open
267,od_1018,2.2,495,DTA,26-09-2021 21:19,N,open
268,od_1019,2.6,495,DTA,26-09-2021 21:20,N,open
269,od_1020,2.85,495,DTA,26-09-2021 21:19,N,open
270,od_1021,3.15,495,DTA,26-09-2021 21:19,N,open
271,od_1022,3.75,495,DTA,26-09-2021 21:20,N,open
272,od_1023,0.85,495,DTA,26-09-2021 21:19,N,open
